player_name,player_id,game_date,team,opponent,home_or_road,minutes_played,points,rebounds,assists,steals,blocks,turnovers,fgm,fga,fg_pct,three_pm,three_pa,fg3_pct,ftm,fta,ft_pct,age,position,role,opponent_def_rank_vs_position,plus_minus,wl
Caris LeVert,1627747,2024-04-12,CLE,IND,HOME,27,16,6,5,1,0,1,6,12,0.5,1,2,0.5,3,4,0.75,29,G,Starter,30,11,W
Donovan Mitchell,1628378,2024-04-12,CLE,IND,HOME,38,33,4,5,4,0,1,12,27,0.444,4,10,0.4,5,5,1.0,27,G,Starter,30,12,W
Zion Williamson,1629627,2024-04-12,NOP,GSW,ROAD,37,26,3,3,6,1,2,11,26,0.423,1,2,0.5,3,6,0.5,23,F,Starter,21,15,W
Jeremiah Robinson-Earl,1630526,2024-04-12,NOP,GSW,ROAD,7,3,1,0,0,0,0,1,3,0.333,1,2,0.5,0,0,nan,23,F,Bench,21,-1,W
Coby White,1629632,2024-04-12,CHI,WAS,ROAD,27,20,4,4,1,0,1,7,16,0.438,0,2,0.0,6,7,0.857,24,G,Starter,21,0,W
Dalen Terry,1631207,2024-04-12,CHI,WAS,ROAD,27,17,4,8,1,2,3,6,8,0.75,1,2,0.5,4,8,0.5,21,F,Starter,24,-13,W
Tim Hardaway Jr.,203501,2024-04-12,DAL,DET,HOME,16,8,2,2,0,0,1,3,6,0.5,1,3,0.333,1,2,0.5,32,G-F,Rotation,26,-9,L
Danté Exum,203957,2024-04-12,DAL,DET,HOME,11,0,2,2,0,0,1,0,1,0.0,0,0,nan,0,0,nan,28,G,Rotation,20,5,L
P.J. Washington,1629023,2024-04-12,DAL,DET,HOME,15,9,3,1,1,0,0,4,8,0.5,1,3,0.333,0,0,nan,25,F,Rotation,23,-7,L
A.J. Lawson,1630639,2024-04-12,DAL,DET,HOME,22,2,6,2,0,0,2,1,6,0.167,0,2,0.0,0,0,nan,23,G,Starter,20,-4,L
Chris Paul,101108,2024-04-12,GSW,NOP,HOME,28,9,4,6,2,0,1,4,9,0.444,1,3,0.333,0,0,nan,38,G,Starter,4,-4,L
Stephen Curry,201939,2024-04-12,GSW,NOP,HOME,32,33,4,5,1,0,7,12,23,0.522,7,13,0.538,2,2,1.0,36,G,Starter,4,-8,L
Dillon Brooks,1628415,2024-04-12,HOU,POR,ROAD,31,9,5,0,0,1,1,4,10,0.4,1,5,0.2,0,0,nan,28,G-F,Starter,22,-1,W
Aaron Holiday,1628988,2024-04-12,HOU,POR,ROAD,26,18,2,2,0,0,0,7,11,0.636,0,3,0.0,4,4,1.0,27,G,Starter,9,15,W
P.J. Tucker,200782,2024-04-12,LAC,UTA,HOME,21,0,5,0,1,0,0,0,1,0.0,0,1,0.0,0,0,nan,38,F,Starter,25,3,L
Paul George,202331,2024-04-12,LAC,UTA,HOME,8,10,1,1,1,1,1,3,5,0.6,2,3,0.667,2,2,1.0,33,F,Bench,25,11,L
Mason Plumlee,203486,2024-04-12,LAC,UTA,HOME,14,3,4,2,0,0,2,1,2,0.5,0,0,nan,1,2,0.5,34,F-C,Rotation,4,-15,L
Taurean Prince,1627752,2024-04-12,LAL,MEM,ROAD,24,9,4,1,0,0,1,3,8,0.375,3,6,0.5,0,0,nan,30,F,Starter,19,17,W
Austin Reaves,1630559,2024-04-12,LAL,MEM,ROAD,25,13,0,1,0,2,2,5,8,0.625,3,5,0.6,0,1,0.0,25,G,Starter,7,-22,W
Caleb Martin,1628997,2024-04-12,MIA,TOR,HOME,30,3,4,3,1,0,0,1,3,0.333,1,3,0.333,0,0,nan,28,F,Starter,29,10,W
Patrick Beverley,201976,2024-04-12,MIL,OKC,ROAD,24,6,3,7,1,0,1,2,5,0.4,0,0,nan,2,2,1.0,35,G,Starter,22,-6,L
TyTy Washington Jr.,1631102,2024-04-12,MIL,OKC,ROAD,14,2,1,2,1,0,0,1,5,0.2,0,2,0.0,0,0,nan,22,G,Rotation,22,-1,L
Chris Livingston,1641753,2024-04-12,MIL,OKC,ROAD,14,6,5,0,0,0,1,3,3,1.0,0,0,nan,0,0,nan,20,F,Rotation,17,-1,L
Monte Morris,1628420,2024-04-12,MIN,ATL,HOME,6,0,2,0,0,0,0,0,1,0.0,0,1,0.0,0,0,nan,28,G,Bench,27,0,W
Cam Thomas,1630560,2024-04-12,BKN,NYK,ROAD,37,41,1,6,0,0,4,15,26,0.577,4,9,0.444,7,7,1.0,22,G,Starter,1,-8,L
Trendon Watford,1630570,2024-04-12,BKN,NYK,ROAD,38,17,13,3,0,0,5,6,10,0.6,1,2,0.5,4,6,0.667,23,G-F,Starter,27,1,L
Jalen Wilson,1630592,2024-04-12,BKN,NYK,ROAD,33,11,7,0,1,0,0,4,10,0.4,1,4,0.25,2,2,1.0,23,F,Starter,9,9,L
Mitchell Robinson,1629011,2024-04-12,NYK,BKN,HOME,25,15,8,0,0,2,0,5,6,0.833,0,0,nan,5,8,0.625,26,C-F,Starter,10,-9,W
Gary Harris,203914,2024-04-12,ORL,PHI,ROAD,32,3,0,0,1,1,1,1,8,0.125,1,5,0.2,0,0,nan,29,G,Starter,8,-10,L
Joe Ingles,204060,2024-04-12,ORL,PHI,ROAD,13,2,1,6,0,0,0,1,1,1.0,0,0,nan,0,0,nan,36,F-G,Rotation,9,-4,L
Wendell Carter Jr.,1628976,2024-04-12,ORL,PHI,ROAD,4,4,0,0,0,0,0,2,3,0.667,0,1,0.0,0,0,nan,25,C-F,Bench,13,-2,L
Doug McDermott,203926,2024-04-12,IND,CLE,ROAD,6,0,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,nan,32,F,Bench,20,3,L
Jalen Smith,1630188,2024-04-12,IND,CLE,ROAD,20,11,6,0,2,0,1,5,8,0.625,1,2,0.5,0,0,nan,24,F-C,Starter,17,1,L
Tobias Harris,202699,2024-04-12,PHI,ORL,HOME,38,14,6,3,2,2,1,5,10,0.5,1,2,0.5,3,3,1.0,31,F,Starter,6,24,W
Buddy Hield,1627741,2024-04-12,PHI,ORL,HOME,14,6,3,0,0,0,1,2,5,0.4,2,4,0.5,0,0,nan,31,G,Rotation,13,0,W
Paul Reed,1630194,2024-04-12,PHI,ORL,HOME,15,6,3,1,0,1,0,3,3,1.0,0,0,nan,0,1,0.0,24,F,Rotation,6,-8,W
Terquavion Smith,1631173,2024-04-12,PHI,ORL,HOME,1,0,0,1,0,0,1,0,0,nan,0,0,nan,0,0,nan,21,G,Bench,13,-2,W
